PID,SalePrice,Usage
527105030,195500,Public
527127150,213500,Public
527163010,175900,Public
527216070,538000,Public
527258010,394432,Public
527276150,141000,Public
527368020,216000,Public
527402250,149900,Public
527404120,126000,Public
527451180,96000,Public
528120090,290941,Public
528120100,220000,Public
528120120,275000,Public
528138020,259000,Public
528175010,224000,Public
528180070,319900,Public
528231020,184500,Public
528292020,222500,Public
528358010,260400,Public
528445060,221500,Public
531451280,189000,Public
531453040,171000,Public
531477050,67500,Public
532351140,112000,Public
532479070,169000,Public
533130160,285000,Public
533205060,260000,Public
533210060,155000,Public
533223020,155000,Public
533352170,130500,Public
534102025,230000,Public
534129040,218500,Public
534152070,212500,Public
534176230,171000,Public
534251320,143000,Public
534276360,128950,Public
534401140,178900,Public
534451150,76500,Public
535101020,178000,Public
535304180,109000,Public
535327140,107500,Public
535377090,144000,Public
535401080,162000,Public
535425010,242000,Public
902104060,96500,Public
902106140,115000,Public
902125160,80000,Public
902128170,119000,Public
902206040,130000,Public
902206130,119000,Public
902207140,105900,Public
902305110,150000,Public
902402130,125500,Public
902403070,140750,Public
903204040,128500,Public
903233120,138400,Public
903234050,109500,Public
903430080,122000,Public
904300150,107500,Public
905101310,136500,Public
905105070,154000,Public
905106140,158000,Public
905106170,137250,Public
905107250,163000,Public
905107320,158900,Public
905109130,328000,Public
905109170,270000,Public
905325030,260000,Public
905426200,144500,Public
905452110,127000,Public
905453080,308030,Public
906402200,320000,Public
906425045,138500,Public
907125090,159000,Public
907180050,191000,Public
907200340,128200,Public
907250030,318000,Public
907252120,272000,Public
907262050,237000,Public
907401090,232000,Public
908102060,84900,Public
908102110,155891,Public
908102130,100000,Public
908102170,144000,Public
908152080,107000,Public
908203100,90000,Public
908208020,140000,Public
909100080,104000,Public
909176140,127000,Public
909250060,169000,Public
909281080,257500,Public
909428280,335000,Public
909455040,162500,Public
910202060,125500,Public
910205120,110000,Public
916386010,220000,Public
916386090,269500,Public
923202105,173500,Public
923225300,83500,Public
923225390,119500,Public
923226320,75500,Public
923276250,159000,Public
924100050,161000,Public
527108070,377500,Public
527110020,168500,Public
527127100,375000,Public
527131030,278000,Public
527132090,240000,Public
527162110,185000,Public
527162120,191000,Public
527164020,166000,Public
527166010,225000,Public
527182110,187500,Public
527258020,260000,Public
527355150,278000,Public
527356040,157000,Public
527359180,197500,Public
527365030,263435,Public
527375100,213000,Public
527402220,148500,Public
527403040,156000,Public
527451540,97000,Public
527451640,118000,Public
527453050,146000,Public
527453060,148500,Public
527454050,147000,Public
527455050,147000,Public
527455240,100000,Public
528104070,485000,Public
528108010,256300,Public
528108070,335000,Public
528118060,409900,Public
528120020,255500,Public
528142090,280000,Public
528166060,386250,Public
528166090,445000,Public
528168030,290000,Public
528174050,213000,Public
528174060,196000,Public
528174070,184500,Public
528186180,254000,Public
528188020,173000,Public
528218090,184000,Public
528220040,167800,Public
528228290,174000,Public
